Campaign,Type,Ware,Number
SLP-2004,CER,CW,1
SLP-2004,CER,CW,5
SLP-2004,CER,CW,3
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,10
SLP-2004,CER,CW,2
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,2
SLP-2004,CER,CW,1
SLP-2004,CER,CW,3
SLP-2004,CER,CW,2
SLP-2004,CER,CW,1
SLP-2004,CER,CW,3
SLP-2004,CER,CW,3
SLP-2004,CER,CW,4
SLP-2004,CER,CW,5
SLP-2004,CER,CW,4
SLP-2004,CER,CW,1
SLP-2004,CER,CW,2
SLP-2004,CER,CW,2
SLP-2004,CER,CW,2
SLP-2004,CER,CW,2
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,2
SLP-2004,CER,CW,1
SLP-2004,CER,CW,2
SLP-2004,CER,CW,4
SLP-2004,CER,CW,3
SLP-2004,CER,CW,9
SLP-2004,CER,CW,4
SLP-2004,CER,CW,2
SLP-2004,CER,CW,2
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,2
SLP-2004,CER,CW,1
SLP-2004,CER,CW,5
SLP-2004,CER,CW,1
SLP-2004,CER,CW,4
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,3
SLP-2004,CER,CW,2
SLP-2004,CER,CW,4
SLP-2004,CER,CW,5
SLP-2004,CER,CW,5
SLP-2004,CER,CW,1
SLP-2004,CER,CW,3
SLP-2004,CER,CW,6
SLP-2004,CER,CW,3
SLP-2004,CER,CW,4
SLP-2004,CER,CW,2
SLP-2004,CER,CW,3
SLP-2004,CER,CW,2
SLP-2004,CER,CW,1
SLP-2004,CER,CW,5
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,2
SLP-2004,CER,CW,2
SLP-2004,CER,CW,5
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,2
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,2
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,2
SLP-2004,CER,CW,5
SLP-2004,CER,CW,3
SLP-2004,CER,CW,37
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,2
SLP-2004,CER,CW,4
SLP-2004,CER,CW,2
SLP-2004,CER,CW,2
SLP-2004,CER,CW,2
SLP-2004,CER,CW,4
SLP-2004,CER,CW,3
SLP-2004,CER,CW,2
SLP-2004,CER,CW,7
SLP-2004,CER,CW,11
SLP-2004,CER,CW,3
SLP-2004,CER,CW,3
SLP-2004,CER,CW,24
SLP-2004,CER,CW,1
SLP-2004,CER,CW,2
SLP-2004,CER,CW,2
SLP-2004,CER,CW,3
SLP-2004,CER,CW,7
SLP-2004,CER,CW,3
SLP-2004,CER,CW,8
SLP-2004,CER,CW,12
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,2
SLP-2004,CER,CW,3
SLP-2004,CER,CW,5
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,4
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,3
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,3
SLP-2004,CER,CW,2
SLP-2004,CER,CW,2
SLP-2004,CER,CW,2
SLP-2004,CER,CW,2
